Eatery ID,Name,Address,Latitude,Longitude,Category,Price Range,Postal Code,Hygiene Rating,Outdoor Seating,Family Friendly,Self Service
912,luckin coffee - Galaxis,"1 Fusionopolis Place, #01-16, Singapore",1.2998027,103.7879122,"cafe, store, food, point_of_interest, establishment",2,138522,C,Yes,No,No
913,Tai Cheong Bakery (Holland Village),31 Lorong Liput,1.3106268,103.7949827,"cafe, bakery, store, food, point_of_interest, establishment",2,277742,A,Yes,Yes,No
914,The Daily Scoop,"118 Holland Avenue, #02-04 Raffles",1.3105313,103.7961337,"cafe, store, food, point_of_interest, establishment",4,278997,C,No,Yes,Yes
915,Da Paolo Gastronomia - Holland Village,"118 Holland Avenue, #01-06, Raffles",1.3105313,103.7961337,"cafe, grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment",2,278997,A,No,Yes,Yes
916,Super Tuckshop,"1 Fusionopolis Walk, #01-13 Solaris",1.298488,103.7902891,"cafe, food, point_of_interest, establishment",4,138628,B,Yes,Yes,No
917,Mixed Grill & Greens,"4 Fusionopolis Way, #01-13 Kinesis, Singapore",1.2984738,103.78908,"cafe, store, restaurant, food, point_of_interest, establishment",2,Unknown,B,No,Yes,No
918,Little Glass,"1 Fusionopolis Place, #01-34",1.3001063,103.7881563,"cafe, food, point_of_interest, establishment",3,138522,C,No,Yes,Yes
919,Huggs Coffee,"1 Fusionopolis Place, #01-K1/K2 Galaxis",1.2998104,103.7880839,"cafe, store, food, point_of_interest, establishment",1,138522,C,Yes,No,No
920,Iris Cafe,"1 Fusionopolis Walk, #01-11 Solaris",1.2980841,103.7901215,"cafe, food, point_of_interest, establishment",2,138628,B,No,Yes,Yes
921,Tiong Hoe Specialty Coffee at Super Simple,"1 Fusionopolis Place, #01-28/29 Galaxis, Singapore",1.299869,103.7880218,"cafe, store, food, point_of_interest, establishment",2,138522,B,Yes,No,Yes
922,FoodBarn Galaxis,"Galaxis, #01-13, 1 Fusionopolis Place, Galaxis",1.2992054,103.7880859,"cafe, restaurant, food, point_of_interest, establishment",2,138522,B,Yes,No,Yes
923,Kopifellas Express,"73A Ayer Rajah Crescent, #01-07",1.2974984,103.7875233,"cafe, store, food, point_of_interest, establishment",1,139951,B,No,No,Yes
924,Coffee Station,77 Ayer Rajah Crescent,1.2974124,103.7875038,"cafe, store, food, point_of_interest, establishment",1,139957,C,Yes,No,No
925,Starbucks Biopolis,"70 Biopolis Street, #01-03",1.3031701,103.7920899,"cafe, store, food, point_of_interest, establishment",2,138547,C,No,Yes,Yes
926,"PEN & INC, Cafe & Bar, One-North","11 Slim Barracks Rise, #03-01/02, Singapore",1.3038359,103.7897048,"cafe, bar, food, point_of_interest, establishment",2,138664,B,Yes,No,Yes
927,King Kong Don,8 Biomedical Grove,1.3024603,103.7930202,"cafe, food, point_of_interest, establishment",1,138665,B,Yes,No,No
928,Brash Boys Coffee,"8 Biomedical Grove, #01-12 Neuros",1.3023987,103.7931831,"cafe, bakery, store, food, point_of_interest, establishment",1,138665,C,No,Yes,Yes
929,KINKY KETO,"8 Biomedical Grove, #01-15 Neuros",1.3025063,103.7932681,"cafe, bakery, store, food, point_of_interest, establishment",4,138665,C,No,Yes,Yes
930,Olulu Palette + Palate (Matrix),"MATRIX 30, Biopolis Street, #01-02",1.3033935,103.79256,"cafe, food, point_of_interest, establishment",3,138671,B,No,Yes,No
931,Waffle Station,"30 Biopolis Street, Matrix",1.303766,103.7923908,"cafe, food, point_of_interest, establishment",3,138671,B,No,Yes,No
932,Yu Jian Zhu Chao,47 Tanglin Halt Road,1.3005893,103.7982283,"cafe, store, food, point_of_interest, establishment",1,141047,A,Yes,No,No
933,Maria Tanglin Halt,"47 Tanglin Halt Road, Block 47, Singapore",1.3006148,103.7981247,"cafe, food, point_of_interest, establishment",2,141047,C,Yes,Yes,No
934,Grandma's Goreng All-Day Delight,"BLK 47 Tanglin Halt Road, #01-325",1.3007163,103.7981258,"cafe, food, point_of_interest, establishment",1,141047,C,Yes,No,No
935,Jamilah Cafe,590 Stirling Road,1.298134,103.8009635,"cafe, food, point_of_interest, establishment",3,148952,C,No,Yes,Yes
936,Hao Zai Lai Ban Mian Fish Soup,"Blk 48 Tanglin Halt Road, #01-21 Tanglin Halt MarketSingapore",1.3005046,103.797891,"cafe, store, food, point_of_interest, establishment",3,148813,B,No,No,Yes
937,Tanglin Halt Hawker Food Centre,48A Tanglin Halt Road,1.3009859,103.7980608,"cafe, store, food, point_of_interest, establishment",1,148813,A,Yes,No,Yes
938,竣源鱼之家,,1.3012507,103.7981323,"cafe, store, food, point_of_interest, establishment",3,141088,A,Yes,Yes,No
939,King Grouper Fish Soup,88 Tanglin Halt Road,1.3017864,103.7983975,"cafe, store, food, point_of_interest, establishment",3,141088,C,No,Yes,No
940,Peking Room Coffeeshop,"49 Tanglin Halt Road, #01-365, Singapore",1.3002769,103.7974471,"cafe, store, food, point_of_interest, establishment",4,142049,C,Yes,Yes,Yes
941,Hao Shi Dai,"72 Commonwealth Drive, Singapore",1.3000185,103.797192,"cafe, store, food, point_of_interest, establishment",4,140072,C,Yes,No,No
942,Perky Penguin Coffee,"501 Stirling Road, Management Development Institute of Singapore (MDIS",1.297104,103.8005333,"cafe, store, food, point_of_interest, establishment",4,148951,A,No,Yes,No
943,Ernie's Coffee,49 Stirling Road,1.2975294,103.8022685,"cafe, store, food, point_of_interest, establishment",3,141049,A,No,Yes,Yes
944,Java Corner,"49 Stirling Road, Block 49",1.2975488,103.8024159,"cafe, food, point_of_interest, establishment",1,141049,B,No,Yes,No
945,Tai Wanderful,"64 Stirling Road, Singapore",1.2975258,103.8023926,"cafe, food, point_of_interest, establishment",4,148948,A,Yes,Yes,Yes
946,Brash Boys Coffee in OMG Donuts,"38 Margaret Drive, #01-08 Margaret Markets",1.297766,103.8043307,"cafe, store, food, point_of_interest, establishment",4,141038,C,Yes,No,Yes
947,Ya Kun Kaya Toast,"38 Margaret Drive, #02-05 Margaret Market",1.297766,103.8043307,"cafe, food, point_of_interest, establishment",1,141038,B,Yes,Yes,Yes
948,Kumi Taiwanese Eatery,"38 Margaret Drive, #01-01A",1.2977516,103.8043441,"cafe, food, point_of_interest, establishment",2,Unknown,B,Yes,Yes,Yes
949,WildFire Hotplate (Western),115B Commonwealth Drive,1.304547,103.7981889,"cafe, store, restaurant, food, point_of_interest, establishment",3,149597,A,No,Yes,Yes
950,Food More @ 115B Commonwealth,"115B Commonwealth Drive, #01-00",1.304573,103.7981937,"cafe, store, food, point_of_interest, establishment",2,149597,B,No,Yes,No
951,MinFang Korean food,"115B Commonwealth Drive, 115B",1.304574,103.7981937,"cafe, store, food, point_of_interest, establishment",1,149597,A,Yes,No,No
952,Creamier Handcrafted Ice Cream and Coffee (Margaret Drive),"38 Margaret Drive, #01-5A Margaret Market",1.2976088,103.8044195,"cafe, store, restaurant, food, point_of_interest, establishment",3,Unknown,A,Yes,Yes,Yes
953,Ming Lock Cafe,115B Commonwealth Drive,1.3048136,103.7980353,"cafe, store, food, point_of_interest, establishment",1,149597,C,No,Yes,Yes
954,九毛 Coffee Toast (#01-28),"38a Margaret Drive, Singapore",1.2973973,103.8047756,"cafe, store, food, point_of_interest, establishment",1,142038,A,Yes,Yes,Yes
955,Fishball Minced Meat Noodle,115B Commonwealth Drive,1.3051549,103.7976967,"cafe, store, food, point_of_interest, establishment",1,149597,B,Yes,No,No
956,"""Hebrews""","709 Commonwealth Drive, Lutheran Church",1.3062703,103.7992125,"cafe, food, point_of_interest, establishment",1,149601,A,Yes,Yes,Yes
957,Guan Keat Pte Ltd,Singapore,1.3064742,103.8005673,"cafe, food, point_of_interest, establishment",3,Unknown,B,No,No,No
958,Cafe 68,"117 Commonwealth Drive, Singapore",1.306593,103.8003184,"cafe, food, point_of_interest, establishment",2,140117,A,Yes,No,Yes
959,十六楼Mee Pok,"117 Commonwealth Drive, Singapore",1.3066305,103.8002085,"cafe, store, food, point_of_interest, establishment",1,140117,C,Yes,No,No
960,"Eng Kee Chicken Wings, Commonwealth","117 Commonwealth Drive, #01-711",1.3066958,103.7999107,"cafe, store, restaurant, food, point_of_interest, establishment",1,Unknown,A,No,Yes,Yes
961,Nassim Hill Bakery Bistro Bar,"56 Tanglin Road, #01-03",1.3056534,103.8231134,"bakery, cafe, bar, restaurant, store, food, point_of_interest, establishment",2,247964,B,Yes,No,Yes
962,Seeds Cafe,"501 Margaret Drive, #01-K1 Rainbow Centre, Singapore",1.297349,103.8088766,"cafe, food, point_of_interest, establishment",1,149306,B,Yes,No,Yes
963,Bellerbys House,Block 75G Loewen Road,1.3019921,103.812918,"cafe, store, food, point_of_interest, establishment",3,248845,B,No,Yes,Yes
964,MOIC Cafe & Bar,100 Loewen Road,1.3027127,103.8124109,"cafe, food, bar, point_of_interest, establishment",3,248837,C,No,Yes,Yes
965,Baker & Cook - Dempsey,30C Loewen Road,1.3035568,103.8122881,"cafe, bakery, store, food, point_of_interest, establishment",2,248839,B,Yes,Yes,No
966,two matcha,41A Margaret Drive,1.2968439,103.8071587,"cafe, food, point_of_interest, establishment",2,143042,B,Yes,No,No
967,HHJ Kitchen,"85 Dawson Road, #01-02, Singapore",1.2954517,103.8100584,"cafe, store, food, point_of_interest, establishment",1,141085,B,Yes,Yes,No
968,OMMAS,"Blk 85 Dawson Road, #01-02",1.2954432,103.8102567,"cafe, store, restaurant, food, point_of_interest, establishment",1,141085,B,No,No,No
969,Seven Stars Coffee Shop (七福星咖啡),85 Dawson Road,1.2953431,103.8100354,"cafe, store, food, point_of_interest, establishment",3,141085,C,No,No,No
970,KOFFEE T:ME,85 Dawson Road,1.295284,103.8105329,"cafe, store, food, point_of_interest, establishment",1,143085,C,No,Yes,No
971,Block 40 Coffeeshop,40 Margaret Drive,1.2966886,103.8064159,"cafe, store, food, point_of_interest, establishment",2,Unknown,B,No,No,Yes
972,Hualong Fishhead Steamboat,40 Margaret Drive,1.29685,103.8062682,"cafe, store, food, point_of_interest, establishment",1,Unknown,B,Yes,Yes,No
973,Ah Gong KKM (Margaret Dr),40 Margaret Drive,1.296698,103.8060987,"cafe, store, food, point_of_interest, establishment",2,Unknown,C,Yes,Yes,No
974,FoodHub @40 Margaret Drive,"40 Margaret Drive, #01-05, Singapore",1.2962858,103.8064144,"cafe, store, food, point_of_interest, establishment",4,Unknown,C,Yes,Yes,No
975,Glow,"26 Dempsey Road, #01-01",1.3056815,103.811455,"cafe, food, point_of_interest, establishment",1,249686,A,Yes,No,No
976,Kawan Kitchen,"301 Commonwealth Avenue, #02-01 MRT Station",1.2941296,103.8063631,"cafe, food, point_of_interest, establishment",1,149729,C,Yes,No,Yes
977,Open Farm Community,130E Minden Road,1.3058298,103.8155908,"restaurant, cafe, meal_delivery, bar, meal_takeaway, food, point_of_interest, store, establishment",3,248819,B,Yes,Yes,No
978,Tiong Bahru Bakery - Safari,130E Minden Road,1.3057546,103.815724,"cafe, meal_delivery, bakery, meal_takeaway, restaurant, food, point_of_interest, store, establishment",2,248819,B,Yes,No,Yes
979,Benjamin Browns Bistro & Bakery,"583 Orchard Road, #01-20/21 Forum The Shopping Mall",1.306069,103.8286,"cafe, bakery, store, food, point_of_interest, establishment",4,238884,A,Yes,No,No
980,Rocky Master,"402 Orchard Road, #01-02/03, Delfi, Orchard, Singapore",1.307196,103.828453,"cafe, food, point_of_interest, establishment",2,238876,A,No,No,Yes
981,Starbucks Delfi Orchard,"402 Orchard Road, #01-01",1.3070791,103.8287098,"cafe, store, food, point_of_interest, establishment",2,229538,A,No,Yes,Yes
982,Starbucks Pacific Plaza,"9 Scotts Road, #01-01A Pacific Plaza",1.3064179,103.8323584,"cafe, store, food, point_of_interest, establishment",2,228210,C,Yes,No,No
983,Ya Kun Kaya Toast,"14 Scotts Road, #01-16",1.3077031,103.8335714,"cafe, store, restaurant, food, point_of_interest, establishment",1,Unknown,A,Yes,Yes,Yes
984,GRUB Stevens Road,"30 Stevens Road, #01-06 Novotel @ Stevens",1.3136339,103.8286023,"cafe, restaurant, food, point_of_interest, establishment",2,257840,C,Yes,Yes,Yes
985,L'Espresso,"22 Scotts Road, Orchard, Singapore",1.308718,103.834441,"cafe, food, point_of_interest, establishment",3,228221,B,Yes,No,Yes
986,tcc - The Connoisseur Concerto (International Building),"360 Orchard Road, #01-01 International Building",1.3059102,103.8308432,"cafe, food, point_of_interest, establishment",2,238869,C,Yes,No,Yes
987,Crossroads Cafe,320 Orchard Road,1.3053683,103.8325366,"restaurant, cafe, bar, food, point_of_interest, establishment",3,238865,B,Yes,No,Yes
988,Starbucks,"435 Orchard Road, #01-34 to #01-36 Wisma Atria",1.3037148,103.8332642,"cafe, food, point_of_interest, store, establishment",2,238877,A,No,No,No
989,Starbucks ION Orchard,"2 Orchard Turn, #B3 - 59",1.3040647,103.8315912,"cafe, food, point_of_interest, store, establishment",2,237973,A,No,No,No
990,Starbucks Tanglin Mall,"163 Tanglin Road, #01 - 113 / 114 Tanglin Mall",1.3049453,103.8234128,"cafe, food, point_of_interest, establishment",2,247933,C,No,Yes,No
991,Killiney @ Camden Medical,"1 Orchard Boulevard, #01-03 Camden Medical Centre, Singapore",1.3032316,103.8239372,"cafe, food, point_of_interest, store, establishment",2,248649,A,Yes,Yes,Yes
992,6 Stone Jars,30 Napier Road,1.3051392,103.8213332,"cafe, food, point_of_interest, establishment",4,258509,B,Yes,No,Yes
993,JEN's Kitchen On-the-Go,1A Cuscaden Road,1.3043552,103.8239455,"cafe, food, point_of_interest, establishment",4,249716,B,Yes,Yes,Yes
994,"Little Farms Market, Tanglin Mall (Grocer)","163 Tanglin Road, #02-136",1.3050246,103.8235685,"cafe, grocery_or_supermarket, restaurant, food, point_of_interest, store, establishment",2,247933,B,No,No,Yes
995,La Veranda,"163 Tanglin Road, Unit, #03-128 Tanglin Mall",1.305035,103.823845,"cafe, restaurant, food, point_of_interest, establishment",3,247933,A,Yes,No,No
996,"Little Farms Table, Tanglin Mall (Restaurant)","163 Tanglin Road, #02-138",1.305035,103.823845,"restaurant, cafe, bar, food, point_of_interest, establishment",4,247933,B,Yes,No,Yes
997,Tanamera Coffee Tanglin Mall,"163 Tanglin Road, #02-130",1.305035,103.823845,"cafe, food, point_of_interest, establishment",4,247933,A,No,No,No
998,Caffe Beviamo Tanglin Mall,"163 Tanglin Road, #02-127/128",1.305035,103.823845,"cafe, meal_takeaway, restaurant, food, point_of_interest, establishment",2,247933,B,Yes,Yes,Yes
999,Heavenly Wang,"163 Tanglin Road, B1-127 Tanglin Mall",1.3048107,103.8241998,"cafe, food, point_of_interest, establishment",4,247933,C,Yes,No,No
1000,SG Hawker @ Tanglin Mall,163 Tanglin Road,1.3048546,103.8242796,"cafe, food, point_of_interest, store, establishment",2,247933,B,No,Yes,Yes
1001,Dolcetto,"1 Cuscaden Road, Level 1",1.3046387,103.8248841,"cafe, bakery, grocery_or_supermarket, meal_takeaway, restaurant, food, point_of_interest, store, establishment",3,249715,C,Yes,Yes,No
1002,Ya Kun Kaya Toast,"313 Orchard Road, #01-32,33,34 313@Somerset",1.3006945,103.8385065,"cafe, store, food, point_of_interest, establishment",1,238895,C,Yes,No,Yes
1003,Casie & Mum's,180 Albert Street,1.3041967,103.8508284,"cafe, food, point_of_interest, establishment",4,189971,B,No,No,Yes
1004,"Zeppelin & Co. | Earphones, Headphones Singapore","1 Rochor Canal Road, #02-78 Sim Lim Square",1.3030464,103.853157,"electronics_store, cafe, home_goods_store, store, food, point_of_interest, establishment",1,Unknown,C,Yes,No,Yes
1005,Chye Seng Huat Hardware,150 Tyrwhitt Road,1.3116043,103.8603144,"cafe, point_of_interest, food, store, establishment",2,207563,B,Yes,Yes,Yes
1006,Settlers Cafe By Mosanco,562 Serangoon Road,1.3143382,103.8577003,"cafe, point_of_interest, food, establishment",2,218178,A,Yes,Yes,No
1007,Yakitori At Dickson Japanese,43 Jalan Besar,1.3047223,103.8547372,"cafe, point_of_interest, food, store, establishment",4,208804,A,No,No,Yes
1008,Acts Cafe,37 Veerasamy Road,1.3076702,103.8540692,"cafe, point_of_interest, food, establishment",2,207340,B,Yes,No,Yes
1009,The Black Sheep Cafe,18 Norris Road,1.3079629,103.8535855,"restaurant, cafe, point_of_interest, food, establishment",2,208260,B,Yes,No,Yes
1010,Butter Studio (Jalan Besar),147 Jalan Besar,1.3071128,103.8563135,"bakery, cafe, store, food, point_of_interest, establishment",2,208863,B,No,Yes,No
1011,Mustafa Cafe,Syed Alwi Road,1.3100082,103.8553523,"cafe, food, point_of_interest, establishment",1,207702,C,Yes,Yes,No
1012,Cedele Bakery Cafe - City Square Mall,"180 Kitchener Road, #01-24/25, Singapore",1.3113982,103.8565897,"bakery, cafe, store, food, point_of_interest, establishment",2,208539,C,No,No,Yes
1013,Chang Cheng Mee Wah - Lavender 803 Food House,"803 King George's Avenue, Singapore",1.307798,103.8608749,"cafe, store, food, point_of_interest, establishment",1,200803,C,No,No,Yes
1014,Oberstrasse,"809 French Road, #01-50 Kitchener Complex",1.3084036,103.8622518,"cafe, restaurant, food, point_of_interest, establishment",2,208767,B,Yes,No,No
1015,Two Bakers,88 Horne Road,1.3109044,103.8606399,"cafe, food, point_of_interest, store, establishment",2,209083,C,Yes,No,Yes
1016,Kopi & Tarts @ City Square Mall,"180 Kitchener Road, B1 - 23 City Square Mall",1.3112975,103.8563248,"cafe, food, point_of_interest, store, establishment",2,208539,C,Yes,No,Yes
1017,KOI Thé Express @ City Square Mall,"180 Kitchener Road, Mall, B1-K6 City Square",1.3113982,103.8565897,"cafe, food, point_of_interest, establishment",2,208539,B,Yes,No,No
1018,Starbucks City Square Mall,"180 Kitchener Road 01-38 City Square Mall, 180 Kitchener Road, #01 - 38",1.311397,103.8563171,"cafe, food, point_of_interest, store, establishment",2,208539,A,Yes,Yes,Yes
1019,La Teh CT Hub,"2 Kallang Avenue, #02-18 CT Hub",1.312021,103.8628386,"cafe, food, point_of_interest, establishment",4,338729,B,No,No,No
1020,Gobi Desserts,"2 Marne Road, #01-03, Singapore",1.3129937,103.8570245,"cafe, bakery, food, point_of_interest, store, establishment",2,208393,A,No,No,Yes
1021,Chang Cheng - Kallang Place,26A Kallang Place,1.3158691,103.8670602,"cafe, food, point_of_interest, store, establishment",1,339212,A,Yes,Yes,No
1022,Sweet Garden Dining Cafe,"Cassia Crescent, #01-50 Block 32",1.3096799,103.8838719,"cafe, food, point_of_interest, establishment",2,390032,A,Yes,No,No
1023,iFood Pte. Ltd.,"05-10 Gemini@Sims, 2 Sims Close",1.3157496,103.8778794,"cafe, food, point_of_interest, establishment",4,388572,C,Yes,No,No
1024,J.CO Donuts & Coffee,"201 Victoria Street, Singapore",1.2993233,103.8543678,"cafe, bakery, store, food, point_of_interest, establishment",4,188067,A,No,Yes,Yes
1025,Food Loft® (Geylang Lorong 25A),No. 56/58 Lorong 25A Geylang,1.3154189,103.883278,"restaurant, cafe, food, point_of_interest, store, establishment",1,388249,A,No,Yes,Yes
1026,Jing Si Books and Café 静思书轩（沈氏道店）,"134 Geylang East Avenue 1, #01-219",1.3159516,103.8858085,"cafe, book_store, food, point_of_interest, store, establishment",1,380134,B,No,Yes,No
1027,Delifrance Singapore - Geylang 38 NTUC Cheers Express Corner,638 Geylang Road,1.3142865,103.8892276,"cafe, restaurant, food, point_of_interest, establishment",2,389569,B,Yes,Yes,Yes
1028,Tanjong Rhu Pau & Confectionery,389 Guillemard Road,1.3118618,103.8881698,"cafe, restaurant, food, point_of_interest, establishment",2,399788,A,No,Yes,Yes
1029,Choon Guan Coffee Shop,"21 Old Airport Road, Singapore",1.3074493,103.8845331,"cafe, point_of_interest, food, store, establishment",4,390021,B,Yes,Yes,No
1030,Teck Poh Group Pte Ltd,"5 Guillemard Road, Singapore",1.30886,103.8773367,"cafe, point_of_interest, food, store, establishment",2,399685,A,Yes,Yes,Yes
1031,kaffe.zai,39 Jalan Tiga,1.3078316,103.8849801,"cafe, point_of_interest, food, establishment",3,390039,A,Yes,Yes,No
1032,汤包 Bao The Original Soup Dumpling,"51 Old Airport Road, #01-49, Singapore",1.3081872,103.8854214,"cafe, point_of_interest, food, store, establishment",1,390051,B,Yes,No,No
1033,Brewing,"51 Old Airport Road, #01-14",1.3080805,103.8856998,"cafe, point_of_interest, food, store, establishment",3,Unknown,C,No,Yes,No
1034,Lijiededian,"51 Old Airport Road, #01-02",1.308232,103.8858505,"cafe, restaurant, point_of_interest, food, store, establishment",3,390051,C,No,Yes,No
1035,六一碗面 61noodle,"51 Old Airport Road, #01-63",1.308232,103.8858505,"cafe, restaurant, point_of_interest, food, store, establishment",1,390051,C,Yes,No,Yes
1036,Tai Seng Herbal Soup,"Blk 51 Old Airport Road, #01-139, Singapore",1.308232,103.8858505,"cafe, point_of_interest, food, store, establishment",3,390051,A,Yes,No,Yes
1037,QQ Fresh Juice Ice Blend,"51 Old Airport Road, #01-86, Singapore",1.3081983,103.8859492,"cafe, point_of_interest, food, store, establishment",1,390051,C,No,No,No
1038,Get Some @ Guillemard | Craft Beers,"100 Guillemard Road, #01-01",1.3100974,103.881663,"liquor_store, cafe, bar, restaurant, point_of_interest, food, store, establishment",3,399718,A,Yes,Yes,No
1039,O A Traditional Crystal Pau,Old Airport Road,1.308449,103.8858255,"cafe, point_of_interest, food, store, establishment",4,390051,C,Yes,Yes,No
1040,Vernacular Coffee,"100 Guillemard Road, #01-02",1.3101553,103.8818656,"cafe, point_of_interest, food, establishment",3,399718,A,Yes,No,Yes
1041,Yi Pin Xiang 一品香海鲜,34 Cassia Crescent,1.3092972,103.884641,"cafe, point_of_interest, food, store, establishment",3,390034,A,Yes,Yes,Yes
1042,Li Rong Coffee Stall,"51 Old Airport Road, #01-145, Singapore",1.3083447,103.8862664,"cafe, point_of_interest, food, store, establishment",1,Unknown,B,No,No,Yes
1043,Mui Thiang Kee Eating House,"34 Cassia Crescent, #01-86, Singapore",1.3093631,103.8846199,"cafe, point_of_interest, food, store, establishment",1,390034,A,No,No,No
1044,Local delight,"Cassia Crescent, #01-86 34号",1.3094052,103.8845485,"cafe, point_of_interest, food, store, establishment",3,390034,A,No,No,No
1045,OLD AIRPORT RD PAU DIAN (OLD AIRPORT RD),"34 Cassia Crescent, #01-86",1.3093893,103.8845945,"cafe, point_of_interest, food, store, establishment",3,Unknown,B,Yes,Yes,No
1046,136 鱼汤 Fish Soup,"51 Old Airport Road, シンガポール",1.3084522,103.8861672,"cafe, point_of_interest, food, store, establishment",1,390051,B,No,No,Yes
1047,Wanton Noocle,34 Pine Lane,1.3093884,103.8846216,"cafe, point_of_interest, food, store, establishment",2,Unknown,C,Yes,Yes,No
1048,He Chun Cha Shi 合春茶室,"51 Old Airport Road, #01-140",1.3085431,103.8862513,"cafe, point_of_interest, food, store, establishment",1,390051,B,Yes,No,Yes
1049,Fitra Hainanese Chicken Rice,Jalan Satu Mountbaten Road,1.3092486,103.8877705,"cafe, point_of_interest, food, store, establishment",2,390091,B,No,Yes,Yes
1050,Kopitiam Corner,"Block 91 Jalan Satu, #01-01, Singapore",1.3093217,103.8876858,"cafe, point_of_interest, food, store, establishment",1,390091,B,No,Yes,No
1051,Happiness Coffee - Home Cafe,39 Lorong 24 Geylang,1.3116236,103.8834254,"cafe, point_of_interest, food, store, establishment",2,398636,C,No,Yes,Yes
1052,Ri Ri Hong Mala Hot Pot Dakota Breeze,"91 Jalan Satu, #01-01, Singapore",1.3093103,103.8877668,"cafe, point_of_interest, food, store, establishment",1,390091,A,Yes,No,Yes
1053,ChongQingXiaoMian - Geylang Lor 12,258 Geylang Road,1.3122695,103.8782809,"cafe, point_of_interest, food, store, establishment",2,389314,C,Yes,No,No
1054,Mahir's Cafe,"252 Geylang Road, Singapore",1.3122646,103.8780428,"cafe, point_of_interest, food, establishment",3,389310,A,Yes,No,No
1055,Yong Li Eating House,266 Geylang Road,1.3124049,103.8784839,"cafe, point_of_interest, food, store, establishment",3,389322,B,No,No,Yes
1056,Han Xuart Eating House,"284 Geylang Road, Singapore",1.312479,103.8789733,"cafe, point_of_interest, food, store, establishment",3,398933,C,No,No,No
1057,Rochor Beancurd House,733 Geylang Road,1.3149103,103.8903957,"meal_delivery, cafe, restaurant, point_of_interest, food, establishment",1,389644,B,No,Yes,Yes
1058,Merdandy Bar & Cafe,511 Guillemard Road,1.3140614,103.8916542,"bar, cafe, restaurant, point_of_interest, food, establishment",3,389620,A,No,Yes,No
1059,Keng Wah Sung Cafe,"783 Geylang Road, Singapore",1.3151236,103.8915396,"cafe, restaurant, point_of_interest, food, store, establishment",1,389672,A,Yes,No,No
1060,Kucina Italian Restaurant,"11 Tanjong Katong Road, #B1-09/10, KINEX",1.3149417,103.8945413,"meal_delivery, cafe, meal_takeaway, restaurant, point_of_interest, food, store, establishment",2,437157,C,Yes,Yes,Yes
1061,Haig Road Putu Piring,"970 Geylang Rd, #01-02, Alwadi Coffee Shop (park along, 1 Onan Road, next to Cheers & Hotel 81",1.3158054,103.8971515,"bakery, cafe, restaurant, point_of_interest, food, store, establishment",1,424780,B,Yes,No,No
1062,Sin Huat Eating House (新蕟餐廰),659-661 Lorong 35 Geylang,1.3145792,103.8885315,"cafe, point_of_interest, food, store, establishment",3,389589,C,Yes,No,No
1063,Seng House — Hainanese-Western Café in Tanjong Katong,214 Tanjong Katong Road,1.3073246,103.8952713,"cafe, store, restaurant, food, point_of_interest, establishment",1,437007,A,Yes,Yes,Yes
1064,唯升食摊,"273 Tanjong Katong Road, Singapore",1.3070829,103.895667,"cafe, store, food, point_of_interest, establishment",1,437058,B,No,Yes,No
1065,Jing Mei Seafood Kitchen,271 Tanjong Katong Road,1.3071459,103.8956539,"cafe, store, food, point_of_interest, establishment",1,437054,B,Yes,No,No
1066,Keng Bee Restaurant,"271 Tanjong Katong Road, Singapore",1.3071459,103.8956539,"cafe, store, food, point_of_interest, establishment",1,437054,B,No,Yes,Yes
1067,6 Letter Coffee,"259 Tanjong Katong Road, Beng Tong Mansion",1.3080164,103.8954001,"cafe, restaurant, food, point_of_interest, establishment",2,437047,C,No,No,No
1068,APSN Café for All,"11 Jalan Ubi, #01-51, Block 6 Kembangan Chai Chee Community Hub",1.317846,103.8998136,"cafe, food, point_of_interest, establishment",2,409074,C,No,No,Yes
1069,MICRO red house,"63 East Coast Road, #01-06",1.3052555,103.9036804,"cafe, store, food, point_of_interest, establishment",3,428776,A,No,No,No
1070,Moments of Delight (Telok Kurau),201 Telok Kurau Road,1.312095,103.9112044,"cafe, food, point_of_interest, establishment",1,423910,A,Yes,No,No
1071,Lim Kee coffee shop,"228 East Coast Road, Singapore",1.3074225,103.9076698,"cafe, store, food, point_of_interest, establishment",3,428925,C,Yes,Yes,Yes
1072,Soon Soon Huat Curry Puff,220 East Coast Road,1.3074013,103.907457,"restaurant, cafe, food, point_of_interest, establishment",1,428917,C,Yes,Yes,Yes
1073,AL MEERA'S,"228e East Coast Road, Singapore",1.3075077,103.9076247,"cafe, store, food, point_of_interest, establishment",1,428925,A,Yes,Yes,Yes
1074,Brawn & Brains Coffee,218 East Coast Road,1.3074392,103.9073695,"cafe, food, point_of_interest, establishment",2,428916,C,Yes,Yes,Yes
1075,Jalan tua Kong ah lim,"228 East Coast Road, Singapore",1.3075341,103.9076011,"cafe, store, food, point_of_interest, establishment",3,428925,B,Yes,No,No
1076,Creamier Handcrafted Ice Cream and Coffee (East Coast),"226 East Coast Road, Creamier Handcrafted Ice Cream and Coffee (East Coast",1.3075079,103.907456,"cafe, store, restaurant, food, point_of_interest, establishment",4,428923,B,Yes,Yes,Yes
1077,House of braised duck,"228a East Coast Road, Singapore",1.3075643,103.9075699,"cafe, store, food, point_of_interest, establishment",4,428925,B,Yes,Yes,No
